0x0E20,PT_LONG,PR_ATTACH_SIZE,PidTagAttachSize
0x0E21,PT_LONG,PR_ATTACH_NUM,PidTagAttachNumber
0x0E22,PT_BOOLEAN,PR_PREPROCESS,PidTagPreprocess
0x0E23,PT_LONG,PR_INTERNET_ARTICLE_NUMBER,PidTagInternetArticleNumber
0x0E25,PT_BINARY,PR_ORIGINATING_MTA_CERTIFICATE,PidTagOriginatingMtaCertificate
0x0E26,PT_BINARY,PR_PROOF_OF_SUBMISSION,PidTagProofOfSubmission
0x0E62,PT_BOOLEAN,PR_URL_COMP_NAME_SET,
0x0E79,PT_LONG,PR_TRUST_SENDER,
0x0FF4,PT_LONG,PR_ACCESS,PidTagAccessLevel
0x0FF5,PT_LONG,PR_ROW_TYPE,PidTagRowType
0x0FF6,PT_BINARY,PR_INSTANCE_KEY,PidTagInstanceKey
0x0FF7,PT_LONG,PR_ACCESS_LEVEL,PidTagAccess
0x0FF8,PT_BINARY,PR_MAPPING_SIGNATURE,PidTagMappingSignature
0x0FF9,PT_BINARY,PR_RECORD_KEY,PidTagRecordKey
0x0FFA,PT_BINARY,PR_STORE_RECORD_KEY,PidTagStoreRecordKey
0x0FFB,PT_BINARY,PR_STORE_ENTRYID,PidTagStoreEntryId
0x0FFC,PT_BINARY,PR_MINI_ICON,PidTagMiniIcon
0x0FFD,PT_BINARY,PR_ICON,PidTagIcon
0x0FFE,PT_LONG,PR_OBJECT_TYPE,PidTagObjectType
0x0FFF,PT_BINARY,PR_ENTRYID,PidTagEntryId
0x1000,PT_TSTRING,PR_BODY,PidTagBody
